"";"pos_dist_m";"gps_lon";"gps_lat";"velocity_kmh";"acc_lat"
"208";10;11,648775;48,0836022;25,538;0
"209";10,7;11,6487693;48,0836075;25,978;0,02
"210";11,4;11,6487634;48,0836128;26,316;0,08
"211";12,2;11,6487575;48,0836183;26,878;-0,02
"212";12,9;11,6487515;48,0836238;26,993;0,01
"213";13,7;11,6487455;48,0836293;27,166;0,01
"214";14,4;11,6487394;48,0836348;27,403;0,01
"215";15,2;11,6487332;48,0836404;27,724;0,04
"216";16;11,648727;48,0836459;27,666;-0,01
"217";16,8;11,6487207;48,0836516;28,04;0,02
"218";17,5;11,6487144;48,0836573;28,321;-0,02
"219";18,3;11,648708;48,083663;28,397;0,04
"220";19,1;11,6487016;48,0836687;28,559;-0,01
"221";19,9;11,6486951;48,0836745;28,879;0,03
"222";20,7;11,6486884;48,0836804;29,25;0,05
"223";21,5;11,6486818;48,0836862;29,351;-0,02
"224";22,3;11,6486752;48,0836922;29,549;-0,04
"225";23,2;11,6486685;48,0836981;29,815;0,03
"226";24;11,6486617;48,0837042;30,197;-0,02
"227";24,8;11,6486548;48,0837103;30,316;0,02
"228";25,7;11,6486479;48,0837163;30,492;0,04
"229";26,5;11,648641;48,0837224;30,686;-0,05
"230";27,4;11,6486339;48,0837287;31,158;0,04
"231";28,3;11,648627;48,0837349;31,036;-0,04
"232";29,1;11,6486198;48,0837412;31,561;0,03
"233";30;11,6486128;48,0837475;31,583;-0,03
"234";30,9;11,6486056;48,0837539;31,788;-0,01
"235";31,8;11,6485984;48,0837603;32,152;0,02
"236";32,7;11,6485911;48,0837669;32,569;-0,02
"237";33,6;11,6485838;48,0837735;32,764;-0,03
"238";34,5;11,6485763;48,0837802;33,167;0,01
"239";35,4;11,6485688;48,0837869;33,476;0,04
"240";36,4;11,6485612;48,0837937;33,836;-0,03
"241";37,3;11,6485535;48,0838005;34,009;0,05
"242";38,3;11,6485457;48,0838075;34,632;-0,03
"243";39,2;11,6485379;48,0838145;34,906;0
"244";40,2;11,6485299;48,0838215;35,219;0,06
